Unnamed: 0,Model,Price_w/o_shipping,Vendor,Date
3361,Liebherr FFFsg 4001-40 Performance Gewerbe-Gefrierschrank,"€ 1959,00",Küchen & Wohnstudio Kutzer,2024-06-26
3362,Liebherr GGUesf 1405-20,"€ 839,90",Köck,2024-06-26
3363,Liebherr GGUesf 1405-20,"€ 839,90",Küchen & Wohnstudio Kutzer,2024-06-26
3364,Liebherr GGUesf 1405-20,"€ 849,00",0815,2024-06-26
3365,Liebherr GGUesf 1405-20,"€ 849,99",Media Markt.at,2024-06-26
3366,Exquisit GS280-H-040E weiß,"€ 472,94",Köck,2024-06-26
3367,Exquisit GS280-H-040E weiß,"€ 472,94",Servicehansa,2024-06-26
3368,Exquisit GS280-H-040E weiß,"€ 472,94",Elektroshop Wagner AT,2024-06-26
3369,Exquisit GS280-H-040E weiß,"€ 509,99",Universal Versand,2024-06-26
3370,Exquisit GS280-H-040E weiß,"€ 509,99",OTTO Österreich,2024-06-26
3371,Hoover HVTUS 544IWHN,"€ 199,00",Köck,2024-06-26
3372,Hoover HVTUS 544IWHN,"€ 199,00",Servicehansa,2024-06-26
3373,Hoover HVTUS 544IWHN,"€ 256,00",XXL Resch,2024-06-26
3374,Indesit UI6 F1T W,"€ 674,94",0815,2024-06-26
3375,Bomann GS 2186 inox-look,"€ 237,57",Elektroshop Wagner AT,2024-06-26
3376,Liebherr SGNef 3036-22 Comfort NoFrost,"€ 949,00",Köck,2024-06-26
3377,Liebherr SGNef 3036-22 Comfort NoFrost,"€ 949,00",electronic4you,2024-06-26
3378,Liebherr SGNef 3036-22 Comfort NoFrost,"€ 949,00",Majdic,2024-06-26
3379,Liebherr SGNef 3036-22 Comfort NoFrost,"€ 949,00",Servicehansa,2024-06-26
3380,Liebherr SGNef 3036-22 Comfort NoFrost,"€ 1299,60",0815,2024-06-26
3381,Miele FN 28062 ws,"€ 849,00",ek-online,2024-06-26
3382,Miele FN 28062 ws,"€ 849,00",0815,2024-06-26
3383,Miele FN 28062 ws,"€ 849,00",Red Zac,2024-06-26
3384,Exquisit GS81-040C weiß,"€ 305,61",Köck,2024-06-26
3385,Exquisit GS81-040C weiß,"€ 305,61",Servicehansa,2024-06-26
3386,Exquisit GS81-040C weiß,"€ 305,61",Elektroshop Wagner AT,2024-06-26
3387,Exquisit GS81-040C weiß,"€ 319,99",neckermann.at,2024-06-26
3388,Bosch Serie 6 GIV11AD40,"€ 677,21",0815,2024-06-26
3389,Midea Comfee MDRU385MTE46,"€ 604,03",Amazon.at,2024-06-26
3390,Smeg SAB4604NR Blast Chiller,"€ 3242,00",ALLES KÜCHE,2024-06-26
3391,Smeg SAB4604NR Blast Chiller,"€ 4249,00",Weber Original Store Salzburg,2024-06-26
3392,Liebherr SIFNAe 5188-20 Prime NoFrost,"€ 2499,00",Köck,2024-06-26
3393,Liebherr SIFNAe 5188-20 Prime NoFrost,"€ 3099,00",Schreck,2024-06-26
3394,Liebherr SIFNAe 5188-20 Prime NoFrost,"€ 3099,00",Schreck,2024-06-26
3395,Exquisit GS5111-330E,"€ 282,30",Amazon.at,2024-06-26
3396,Siemens iQ500 GS54NEWCV,"€ 1329,00",Köck,2024-06-26
3397,Siemens iQ500 GS54NEWCV,"€ 1329,00",Radio Krejcik Wien,2024-06-26
3398,Siemens iQ500 GS54NEWCV,"€ 1329,00",Red Zac,2024-06-26
3399,Siemens iQ500 GS54NEWCV,"€ 1649,00",ek-online,2024-06-26
3400,Miele FN 28263 ws,"€ 1199,00",ek-online,2024-06-26
3401,Exquisit GS271-NF-H-040D weiß,"€ 499,98",Köck,2024-06-26
3402,Exquisit GS271-NF-H-040D weiß,"€ 499,98",Servicehansa,2024-06-26
3403,Liebherr FNd 4254-21 Prime NoFrost,"€ 949,00",Köck,2024-06-26
3404,Liebherr FNd 4254-21 Prime NoFrost,"€ 1048,00",Küchen & Wohnstudio Kutzer,2024-06-26
3405,Liebherr SUIG 1514-25,"€ 899,00",Köck,2024-06-26
3406,Liebherr SUIG 1514-25,"€ 899,00",Radio Krejcik Wien,2024-06-26
3407,Liebherr SUIGN 1554-25 NoFrost,"€ 1099,00",Köck,2024-06-26
3408,Liebherr SUIGN 1554-25 NoFrost,"€ 1099,00",Radio Krejcik Wien,2024-06-26
3409,Exquisit GB05-040E inoxlook PV,"€ 159,99",Universal Versand,2024-06-26
3410,Exquisit GB05-040E inoxlook PV,"€ 159,99",OTTO Österreich,2024-06-26
3411,Exquisit GB05-040E inoxlook PV,"€ 172,93",Elektroshop Wagner AT,2024-06-26
3412,Liebherr SFNstd 529i-20 Peak NoFrost,"€ 1799,00",Köck,2024-06-26
3413,Liebherr SFNstd 529i-20 Peak NoFrost,"€ 1839,31",Radio Krejcik Wien,2024-06-26
3414,Liebherr SFNstd 529i-20 Peak NoFrost,"€ 2099,00",Küchen & Wohnstudio Kutzer,2024-06-26
3415,Liebherr SFNsfe 5227-20 Plus NoFrost,"€ 1029,00",Köck,2024-06-26
3416,Liebherr SFNsfe 5227-20 Plus NoFrost,"€ 1029,00",Schreck,2024-06-26
3417,Liebherr SFNsfe 5227-20 Plus NoFrost,"€ 1240,00",Küchen & Wohnstudio Kutzer,2024-06-26
3418,Liebherr IFNe 3924-20 Plus NoFrost,"€ 999,00",Schreck,2024-06-26
3419,Liebherr IFNe 3924-20 Plus NoFrost,"€ 999,00",akatronik,2024-06-26
3420,Liebherr IFNe 3924-20 Plus NoFrost,"€ 999,00",Red Zac,2024-06-26
3421,Haier H3F320WTAAU1 InstaSwitch,"€ 699,00",Köck,2024-06-26
3422,Haier H3F320WTAAU1 InstaSwitch,"€ 699,00",Servicehansa,2024-06-26
3423,Haier H3F320WTAAU1 InstaSwitch,"€ 906,55",Amazon.at,2024-06-26
3424,Haier H3F320WTAAU1 InstaSwitch,"€ 1451,07",mylemon.at,2024-06-26
3425,Amica GS 15470 W,"€ 369,99",Universal Versand,2024-06-26
3426,Amica GS 15470 W,"€ 369,99",OTTO Österreich,2024-06-26
3427,Amica GS 15470 W,"€ 432,47",Elektroshop Wagner AT,2024-06-26
3428,Beko BFNA247E30SN,"€ 502,07",Radio Krejcik Wien,2024-06-26
3429,Beko BFNA247E30SN,"€ 649,00",ek-online,2024-06-26
3430,Miele F 2672 Vi,"€ 10100,00",Köck,2024-06-26
3431,Miele F 2672 Vi,"€ 10100,00",ek-online,2024-06-26
3432,Miele F 2672 Vi,"€ 10100,00",0815,2024-06-26
